Degree,Faculty
international relations,"Faculty of Arts, Design and Architecture"
journalism,"Faculty of Arts, Design and Architecture"
quantum engineering,"Faculty of Engineering"
software engineering,"Faculty of Engineering"
media,"Faculty of Arts, Design and Architecture"
computer engineering,"Faculty of Engineering"
commerce,"UNSW Business School"
computer science,"Faculty of Engineering"
medical science,"Faculty of Science"
science,"Faculty of Science"
arts,"Faculty of Arts, Design and Architecture"
mechatronics engineering,"Faculty of Engineering"
information systems,"UNSW Business School"
civil engineering,"Faculty of Engineering"
medicine,"Faculty of Medicine and Health"
engineering,"Faculty of Engineering"
design,"Faculty of Arts, Design and Architecture"
renewable energy engineering,"Faculty of Engineering"
electrical engineering,"Faculty of Engineering"
criminology & criminal justice,"Faculty of Law and Justice"
biotechnology,"Faculty of Science"
law,"Faculty of Law and Justice"
actuarial studies,"UNSW Business School"
mechanical engineering,"Faculty of Engineering"
data science,"Faculty of Science"
finance,"UNSW Business School"
communications,"Faculty of Arts, Design and Architecture"
economics,"UNSW Business School"
international public health,"Faculty of Medicine and Health"
animation,"Faculty of Arts, Design and Architecture"
biomedical engineering,"Faculty of Engineering"
construction management,"Faculty of Arts, Design and Architecture"
exercise physiology,"Faculty of Medicine and Health"
advanced mathematics,"Faculty of Science"
psychological science,"Faculty of Science"
mining engineering,"Faculty of Engineering"
social sciences,"Faculty of Arts, Design and Architecture"
aerospace engineering,"Faculty of Engineering"
physics,"Faculty of Science"
aviation,"Faculty of Science"
drama,"National Institude of Dramatic Art"
advanced science,"Faculty of Science"
chemistry,"Faculty of Science"
politics,"Faculty of Arts, Design and Architecture"
environmental engineering,"Faculty of Engineering"
education,"Faculty of Arts, Design and Architecture"
fine arts,"Faculty of Arts, Design and Architecture"
physiotherapy,"Faculty of Medicine and Health"